"","Product","Sub.issue","Company"
"12933","Student loan","Problems when you are unable to pay","Delta Management Associates, Inc."
"12940","Student loan","Having problems with customer service","AES/PHEAA"
"12979","Student loan","Repaying your loan","Navient Solutions, Inc."
"12980","Student loan","Having problems with customer service","Navient Solutions, Inc."
"12992","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"13013","Student loan","Can't decrease my monthly payments","Discover"
"13111","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"13118","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"13167","Student loan","Having problems with customer service","Navient Solutions, Inc."
"13180","Student loan","Can't temporarily postpone payments","Sallie Mae"
"13226","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"13229","Student loan","Repaying your loan","ECMC Group, Inc."
"13244","Student loan","Can't decrease my monthly payments","Wells Fargo & Company"
"13265","Student loan","Can't decrease my monthly payments","JPMorgan Chase & Co."
"13329","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"13332","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"13378","Student loan","Can't get flexible payment options","JPMorgan Chase & Co."
"13451","Student loan","Having problems with customer service","Student Loan Finance Corporation"
"13492","Student loan","Having problems with customer service","Access Group"
"13517","Student loan","Received bad information about my loan","Sallie Mae"
"13528","Student loan","Need information about my balance/terms","Student Loan Finance Corporation"
"13530","Student loan","Keep getting calls about my loan","Allied Interstate LLC"
"13585","Student loan","Problems when you are unable to pay","Discover"
"13588","Student loan","Received bad information about my loan","KeyBank NA"
"13665","Student loan","Trouble with how payments are handled","ACS Education Services"
"13669","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"13689","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"13694","Student loan","Can't decrease my monthly payments","Great Lakes"
"13716","Student loan","Received bad information about my loan","Delta Management Associates, Inc."
"13728","Student loan","Having problems with customer service","Navient Solutions, Inc."
"13774","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"13791","Student loan","Can't temporarily postpone payments","Wells Fargo & Company"
"13818","Student loan","Can't get flexible payment options","AES/PHEAA"
"13846","Student loan","Can't decrease my monthly payments","Wells Fargo & Company"
"13850","Student loan","Trouble with how payments are handled","Expert Global Solutions, Inc."
"13852","Student loan","Trouble with how payments are handled","Bank of America"
"13908","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"13957","Student loan","Keep getting calls about my loan","AES/PHEAA"
"13969","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"13975","Student loan","Received bad information about my loan","AES/PHEAA"
"13981","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"14111","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"14137","Student loan","Getting a loan","Discover"
"14159","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"14177","Student loan","Trouble with how payments are handled","JPMorgan Chase & Co."
"14222","Student loan","Need information about my balance/terms","Navient Solutions, Inc."
"14230","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"14232","Student loan","Having problems with customer service","KeyBank NA"
"14289","Student loan","Can't temporarily postpone payments","JPMorgan Chase & Co."
"14293","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"14314","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"14384","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"14401","Student loan","Trouble with how payments are handled","Discover"
"14419","Student loan","Trouble with how payments are handled","Sallie Mae"
"14471","Student loan","Can't get flexible payment options","JPMorgan Chase & Co."
"14473","Student loan","Can't decrease my monthly payments","Sallie Mae"
"14543","Student loan","Can't get flexible payment options","PNC Bank N.A."
"14565","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"14590","Student loan","Keep getting calls about my loan","SIMM Associates, Inc."
"14614","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"14617","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"14740","Student loan","Can't decrease my monthly payments","AES/PHEAA"
"14809","Student loan","Can't decrease my monthly payments","Expert Global Solutions, Inc."
"14828","Student loan","Can't decrease my monthly payments","Discover"
"14969","Student loan","Having problems with customer service","KeyBank NA"
"15014","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"15253","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"15277","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"15278","Student loan","Having problems with customer service","Discover"
"15314","Student loan","Can't temporarily postpone payments","Higher Education Student Assistance Authority (HESAA)"
"15354","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"15363","Student loan","Can't temporarily postpone payments","JPMorgan Chase & Co."
"15433","Student loan","Can't get flexible payment options","KeyBank NA"
"15439","Student loan","Trouble with how payments are handled","KeyBank NA"
"15528","Student loan","Can't temporarily postpone payments","JPMorgan Chase & Co."
"15536","Student loan","Can't decrease my monthly payments","MOHELA"
"15548","Student loan","Can't get flexible payment options","Wells Fargo & Company"
"15549","Student loan","Can't decrease my monthly payments","JPMorgan Chase & Co."
"15596","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"15608","Student loan","Need information about my balance/terms","KeyBank NA"
"15626","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"15730","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"15760","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"15978","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
